question,answer,category,hospital
What specialists treat osteoporosis at Kenyatta National Hospital?,"At Kenyatta National Hospital, Osteoporosis is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing osteoporosis.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat fractures?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Fractures. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat fractures at Nairobi Hospital?,"At Nairobi Hospital, Fractures is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing fractures.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat fractures?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Fractures. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat fractures at Kenyatta National Hospital?,"At Kenyatta National Hospital, Fractures is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing fractures.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat burns?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Burns. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat burns at Nairobi Hospital?,"At Nairobi Hospital, Burns is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing burns.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat burns?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Burns. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat burns at Kenyatta National Hospital?,"At Kenyatta National Hospital, Burns is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing burns.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat wounds?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Wounds. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat wounds at Nairobi Hospital?,"At Nairobi Hospital, Wounds is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing wounds.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat wounds?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Wounds. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat wounds at Kenyatta National Hospital?,"At Kenyatta National Hospital, Wounds is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing wounds.",medical_specialists,kenyatta_national
What chronic diseases does Nairobi Hospital manage?,"Nairobi Hospital manages chronic conditions including diabetes, hypertension, heart disease, kidney disease, and arthritis. We provide comprehensive long-term care plans.",chronic_care,nairobi_hospital
Does Nairobi Hospital have a diabetes clinic?,"Yes, Nairobi Hospital has a dedicated diabetes clinic with endocrinologists, nutritionists, and diabetes educators to provide comprehensive diabetes management.",specialty_clinics,nairobi_hospital
What cancer treatments are available at Nairobi Hospital?,"Nairobi Hospital offers comprehensive cancer care including chemotherapy, radiotherapy, surgical oncology, and palliative care with a multidisciplinary team approach.",oncology,nairobi_hospital
What chronic diseases does Kenyatta National Hospital manage?,"Kenyatta National Hospital manages chronic conditions including diabetes, hypertension, heart disease, kidney disease, and arthritis. We provide comprehensive long-term care plans.",chronic_care,kenyatta_national
Does Kenyatta National Hospital have a diabetes clinic?,"Yes, Kenyatta National Hospital has a dedicated diabetes clinic with endocrinologists, nutritionists, and diabetes educators to provide comprehensive diabetes management.",specialty_clinics,kenyatta_national
What cancer treatments are available at Kenyatta National Hospital?,"Kenyatta National Hospital offers comprehensive cancer care including chemotherapy, radiotherapy, surgical oncology, and palliative care with a multidisciplinary team approach.",oncology,kenyatta_national
Does Nairobi Hospital offer ct scan?,"Yes, Nairobi Hospital provides CT Scan services with modern equipment and qualified technicians. Please call +254-20-2845000 to schedule an appointment.",procedures,nairobi_hospital
How do I prepare for ct scan at Nairobi Hospital?,Preparation instructions for CT Scan will be provided when you schedule your appointment at Nairobi Hospital. Our staff will guide you through any specific requirements.,procedure_preparation,nairobi_hospital
How long does ct scan take at Nairobi Hospital?,The duration of CT Scan varies depending on individual cases. Our medical team at Nairobi Hospital will provide you with specific timing information during consultation.,procedure_duration,nairobi_hospital
Does Kenyatta National Hospital offer ct scan?,"Yes, Kenyatta National Hospital provides CT Scan services with modern equipment and qualified technicians. Please call +254-20-2726300 to schedule an appointment.",procedures,kenyatta_national
How do I prepare for ct scan at Kenyatta National Hospital?,Preparation instructions for CT Scan will be provided when you schedule your appointment at Kenyatta National Hospital. Our staff will guide you through any specific requirements.,procedure_preparation,kenyatta_national
How long does ct scan take at Kenyatta National Hospital?,The duration of CT Scan varies depending on individual cases. Our medical team at Kenyatta National Hospital will provide you with specific timing information during consultation.,procedure_duration,kenyatta_national
Does Nairobi Hospital offer mri?,"Yes, Nairobi Hospital provides MRI services with modern equipment and qualified technicians. Please call +254-20-2845000 to schedule an appointment.",procedures,nairobi_hospital
How do I prepare for mri at Nairobi Hospital?,Preparation instructions for MRI will be provided when you schedule your appointment at Nairobi Hospital. Our staff will guide you through any specific requirements.,procedure_preparation,nairobi_hospital
How long does mri take at Nairobi Hospital?,The duration of MRI varies depending on individual cases. Our medical team at Nairobi Hospital will provide you with specific timing information during consultation.,procedure_duration,nairobi_hospital
Does Kenyatta National Hospital offer mri?,"Yes, Kenyatta National Hospital provides MRI services with modern equipment and qualified technicians. Please call +254-20-2726300 to schedule an appointment.",procedures,kenyatta_national
